system:index,elevacion,etiqueta,fecha,ndvi,pendiente,riesgo,temperatura,.geo
1_2020_08_01_+18342+7960,880.0,1,2020-03-01,7442.0,31.0,-1382.144,14777.0,"{""type"":""Point"",""coordinates"":[-117.92383604681923,34.21378532619251]}"
1_2020_08_01_+18342+7961,804.0,1,2020-03-01,6651.0,33.0,-1230.4959999999999,14833.0,"{""type"":""Point"",""coordinates"":[-117.91040079182677,34.2002955173086]}"
1_2020_08_01_+18342+7962,568.0,1,2020-03-01,7188.0,33.0,-1361.5200000000002,14830.0,"{""type"":""Point"",""coordinates"":[-117.90434190635813,34.20179438496236]}"
1_2020_08_01_+18342+7963,483.0,1,2020-03-01,7252.0,29.0,-1383.748,14864.0,"{""type"":""Point"",""coordinates"":[-117.90368722742413,34.19355061286665]}"
1_2020_08_01_+18343+7848,1665.0,1,2020-03-01,7206.0,7.0,-1266.492,14421.0,"{""type"":""Point"",""coordinates"":[-118.62456452142892,34.70841165193537]}"
1_2020_08_01_+18343+7854,1651.0,1,2020-03-01,6961.0,12.0,-1216.44,14540.0,"{""type"":""Point"",""coordinates"":[-118.58590001940057,34.681432034167585]}"
1_2020_08_01_+18343+7962,672.0,1,2020-03-01,7350.0,31.0,-1383.848,14864.0,"{""type"":""Point"",""coordinates"":[-117.898676186605,34.19579891434729]}"
1_2020_08_01_+18344+7857,1518.0,1,2020-03-01,7028.0,31.0,-1237.8080000000002,14494.0,"{""type"":""Point"",""coordinates"":[-118.57034917347013,34.68264733226522]}"
1_2020_08_01_+18345+7961,908.0,1,2020-03-01,7256.0,28.0,-1342.8120000000001,14806.0,"{""type"":""Point"",""coordinates"":[-117.89451631186081,34.20254381878925]}"
1_2020_08_01_+18346+7849,1568.0,1,2020-03-01,6622.0,19.0,-1156.0720000000001,14386.0,"{""type"":""Point"",""coordinates"":[-118.60170799945234,34.70391504897408]}"
1_2020_08_01_+18346+7956,1097.0,1,2020-03-01,7034.0,36.0,-1277.816,14718.0,"{""type"":""Point"",""coordinates"":[-117.92010980323823,34.22277853211509]}"
1_2020_08_01_+18346+7961,902.0,1,2020-03-01,6719.0,22.0,-1237.8120000000001,14806.0,"{""type"":""Point"",""coordinates"":[-117.88907943087844,34.202543818789245]}"
1_2020_08_01_+18347+7852,1474.0,1,2020-03-01,6821.0,19.0,-1205.032,14416.0,"{""type"":""Point"",""coordinates"":[-118.58237627783838,34.690425240090185]}"
1_2020_08_01_+18347+7856,1473.0,1,2020-03-01,5997.0,29.0,-1035.9640000000002,14587.0,"{""type"":""Point"",""coordinates"":[-118.55115313000536,34.67243882824498]}"
1_2020_08_01_+18347+7860,1072.0,1,2020-03-01,5078.0,36.0,-889.9639999999999,14612.0,"{""type"":""Point"",""coordinates"":[-118.52815475094319,34.654452416399785]}"
1_2020_08_01_+18348+7849,1466.0,1,2020-03-01,7025.0,31.0,-1242.976,14423.0,"{""type"":""Point"",""coordinates"":[-118.5935035690041,34.70391504897408]}"
1_2020_08_01_+18348+7853,1501.0,1,2020-03-01,6684.0,27.0,-1173.0040000000004,14357.0,"{""type"":""Point"",""coordinates"":[-118.56499836809574,34.685928637128875]}"
1_2020_08_01_+18348+7862,824.0,1,2020-03-01,3886.0,22.0,-679.5400000000001,14740.0,"{""type"":""Point"",""coordinates"":[-118.50983148242679,34.64545921047719]}"
1_2020_08_01_+18348+7959,959.0,1,2020-03-01,7299.0,26.0,-1346.76,14825.0,"{""type"":""Point"",""coordinates"":[-117.90836215926247,34.214384873254]}"
1_2020_08_01_+18349+7855,1521.0,1,2020-03-01,6341.0,23.0,-1103.316,14393.0,"{""type"":""Point"",""coordinates"":[-118.54336016428762,34.69063936404072]}"
1_2020_08_01_+18350+7861,1086.0,1,2020-03-01,5651.0,16.0,-1009.036,14628.0,"{""type"":""Point"",""coordinates"":[-118.5187172913238,34.66387798799175]}"
1_2020_08_01_+18351+7849,1507.0,1,2020-03-01,6584.0,28.0,-1151.7520000000002,14401.0,"{""type"":""Point"",""coordinates"":[-118.57435989795817,34.70391504897408]}"
1_2020_08_01_+18353+7850,1379.0,1,2020-03-01,7250.0,18.0,-1300.9119999999998,14381.0,"{""type"":""Point"",""coordinates"":[-118.55697740009285,34.69941844601278]}"
1_2020_08_01_+18354+7848,1377.0,1,2020-03-01,6224.0,14.0,-1096.9360000000001,14403.0,"{""type"":""Point"",""coordinates"":[-118.56439542774051,34.70841165193538]}"
1_2020_08_01_+18354+7853,1521.0,1,2020-03-01,7209.0,30.0,-1275.1840000000002,14347.0,"{""type"":""Point"",""coordinates"":[-118.53218777776438,34.68592863712888]}"
1_2020_08_01_+18355+7848,1284.0,1,2020-03-01,6332.0,13.0,-1128.136,14403.0,"{""type"":""Point"",""coordinates"":[-118.55892551013248,34.708411651935364]}"
1_2020_08_01_+18356+7849,1329.0,1,2020-03-01,6978.0,22.0,-1249.832,14441.0,"{""type"":""Point"",""coordinates"":[-118.54701179646402,34.70391504897408]}"
1_2020_08_01_+18357+7848,1208.0,1,2020-03-01,5080.0,10.0,-885.932,14441.0,"{""type"":""Point"",""coordinates"":[-118.5479856749164,34.708411651935386]}"
1_2020_08_01_+18357+7849,1311.0,1,2020-03-01,6832.0,22.0,-1222.736,14403.0,"{""type"":""Point"",""coordinates"":[-118.55432244030494,34.705199792677305]}"
1_2020_08_01_+18357+7853,1370.0,1,2020-03-01,6065.0,16.0,-1064.788,14459.0,"{""type"":""Point"",""coordinates"":[-118.5227814970449,34.69533062513887]}"
1_2020_08_01_+18358+7849,1268.0,1,2020-03-01,6403.0,22.0,-1140.6440000000002,14477.0,"{""type"":""Point"",""coordinates"":[-118.53607255586635,34.703915048974096]}"
1_2020_08_01_+18359+7848,1187.0,1,2020-03-01,5153.0,16.0,-900.5440000000001,14477.0,"{""type"":""Point"",""coordinates"":[-118.53704583970033,34.708411651935386]}"
1_2020_08_01_+18360+7855,1183.0,1,2020-03-01,6140.0,24.0,-1095.88,14485.0,"{""type"":""Point"",""coordinates"":[-118.50406471405758,34.696148189313654]}"
1_2020_08_01_+18363+7847,1229.0,1,2020-03-01,5236.0,30.0,-908.16,14550.0,"{""type"":""Point"",""coordinates"":[-118.52160931453705,34.712908254896675]}"
1_2020_08_01_+18363+7854,1254.0,1,2020-03-01,6463.0,19.0,-1154.888,14484.0,"{""type"":""Point"",""coordinates"":[-118.47927139192059,34.681432034167585]}"
1_2020_08_01_+18364+7853,1086.0,1,2020-03-01,4636.0,1.0,-811.552,14501.0,"{""type"":""Point"",""coordinates"":[-118.47997089151761,34.68892637243642]}"
1_2020_08_01_+18365+7846,1057.0,1,2020-03-01,3691.0,10.0,-622.664,14512.0,"{""type"":""Point"",""coordinates"":[-118.51711286564245,34.71740485785797]}"
1_2020_08_01_+18366+7846,1047.0,1,2020-03-01,3773.0,15.0,-636.668,14749.0,"{""type"":""Point"",""coordinates"":[-118.51212940097884,34.71965315933861]}"
1_2020_08_01_+18366+7852,1110.0,1,2020-03-01,3943.0,23.0,-662.96,14625.0,"{""type"":""Point"",""coordinates"":[-118.47300170249486,34.69042524009018]}"
1_2020_08_01_+18367+7849,1254.0,1,2020-03-01,5086.0,3.0,-883.6560000000001,14563.0,"{""type"":""Point"",""coordinates"":[-118.48958078332629,34.70391504897408]}"
1_2020_08_01_+18367+7851,1178.0,1,2020-03-01,4304.0,24.0,-728.2440000000001,14602.0,"{""type"":""Point"",""coordinates"":[-118.47396921093505,34.69492184305148]}"
1_2020_08_01_+18368+7847,1270.0,1,2020-03-01,4612.0,6.0,-786.4040000000001,14557.0,"{""type"":""Point"",""coordinates"":[-118.49425823962075,34.712908254896675]}"
1_2020_08_01_+18368+7850,1226.0,1,2020-03-01,5013.0,4.0,-870.116,14743.0,"{""type"":""Point"",""coordinates"":[-118.47493755425836,34.69941844601278]}"
1_2020_08_01_+18369+7847,1218.0,1,2020-03-01,4301.0,20.0,-725.204,14557.0,"{""type"":""Point"",""coordinates"":[-118.48878802463749,34.71290825489669]}"
1_2020_08_01_+18369+7849,1138.0,1,2020-03-01,5011.0,23.0,-873.952,14601.0,"{""type"":""Point"",""coordinates"":[-118.4759067325792,34.70391504897408]}"
1_2020_08_01_+18370+7843,1011.0,1,2020-03-01,2583.0,3.0,-405.12399999999997,14842.0,"{""type"":""Point"",""coordinates"":[-118.50909636958427,34.73089466674187]}"
1_2020_08_01_+18370+7846,958.0,1,2020-03-01,3133.0,6.0,-520.6120000000001,14706.0,"{""type"":""Point"",""coordinates"":[-118.49099121304333,34.72589844122932]}"
1_2020_08_01_+18371+7843,988.0,1,2020-03-01,2446.0,12.0,-377.324,14842.0,"{""type"":""Point"",""coordinates"":[-118.50362496443964,34.730894666741875]}"
1_2020_09_01_+18231+7966,212.0,1,2020-03-01,6383.0,2.0,-1242.596,15183.0,"{""type"":""Point"",""coordinates"":[-118.48229080955053,34.17781250250211]}"
1_2020_09_01_+18232+7966,213.0,1,2020-03-01,6652.0,2.0,-1296.016,15218.0,"{""type"":""Point"",""coordinates"":[-118.47685552262395,34.17781250250211]}"
1_2020_09_01_+18317+7967,604.0,1,2020-03-01,6300.0,29.0,-1180.512,14956.0,"{""type"":""Point"",""coordinates"":[-118.01122217490185,34.17871182309437]}"
1_2020_09_01_+18318+7958,1553.0,1,2020-03-01,7656.0,19.0,-1361.836,14703.0,"{""type"":""Point"",""coordinates"":[-118.06426428368019,34.2182819291538]}"
1_2020_09_01_+18318+7966,548.0,1,2020-03-01,6737.0,32.0,-1272.612,14956.0,"{""type"":""Point"",""coordinates"":[-118.009420846939,34.17781250250211]}"
1_2020_09_01_+18318+7968,401.0,1,2020-03-01,6879.0,32.0,-1315.7120000000002,14956.0,"{""type"":""Point"",""coordinates"":[-117.99922535154633,34.17181703188704]}"
1_2020_09_01_+18320+7957,1472.0,1,2020-03-01,6094.0,41.0,-1051.5759999999998,14623.0,"{""type"":""Point"",""coordinates"":[-118.05911414298455,34.21978079680756]}"
1_2020_09_01_+18320+7959,1140.0,1,2020-03-01,7636.0,41.0,-1393.104,14632.0,"{""type"":""Point"",""coordinates"":[-118.04799472165874,34.21378532619251]}"
1_2020_09_01_+18320+7962,691.0,1,2020-03-01,7189.0,10.0,-1356.8000000000002,14770.0,"{""type"":""Point"",""coordinates"":[-118.02371444567974,34.19579891434729]}"
1_2020_09_01_+18321+7956,1645.0,1,2020-03-01,6448.0,35.0,-1106.8760000000002,14623.0,"{""type"":""Point"",""coordinates"":[-118.05606446972237,34.2227785321151]}"
1_2020_09_01_+18321+7968,541.0,1,2020-03-01,6858.0,27.0,-1299.0120000000002,14956.0,"{""type"":""Point"",""coordinates"":[-117.98658445503693,34.17203115583757]}"
1_2020_09_01_+18322+7959,1081.0,1,2020-03-01,7555.0,27.0,-1386.844,14652.0,"{""type"":""Point"",""coordinates"":[-118.03401877516147,34.2131429543409]}"
1_2020_09_01_+18322+7962,630.0,1,2020-03-01,7294.0,21.0,-1380.5040000000001,14782.0,"{""type"":""Point"",""coordinates"":[-118.01555977660963,34.19579891434729]}"
1_2020_09_01_+18322+7968,458.0,1,2020-03-01,6773.0,26.0,-1290.4840000000002,14972.0,"{""type"":""Point"",""coordinates"":[-117.97510715441925,34.16881929657951]}"
1_2020_09_01_+18323+7948,1350.0,1,2020-03-01,5976.0,16.0,-1047.428,14654.0,"{""type"":""Point"",""coordinates"":[-118.09607994776059,34.260999657286135]}"
1_2020_09_01_+18323+7968,566.0,1,2020-03-01,6720.0,21.0,-1270.584,14972.0,"{""type"":""Point"",""coordinates"":[-117.96967244666658,34.1688192965795]}"
1_2020_09_01_+18324+7949,1224.0,1,2020-03-01,7217.0,14.0,-1309.796,14533.0,"{""type"":""Point"",""coordinates"":[-118.08933194595157,34.25425475284419]}"
1_2020_09_01_+18324+7951,1313.0,1,2020-03-01,6373.0,44.0,-1122.4800000000002,14610.0,"{""type"":""Point"",""coordinates"":[-118.07127277348393,34.245261546921576]}"
1_2020_09_01_+18324+7952,1291.0,1,2020-03-01,6650.0,28.0,-1185.5120000000002,14531.0,"{""type"":""Point"",""coordinates"":[-118.06496539943657,34.240764943960286]}"
1_2020_09_01_+18324+7956,1143.0,1,2020-03-01,8111.0,26.0,-1492.048,14664.0,"{""type"":""Point"",""coordinates"":[-118.03974990974427,34.22277853211509]}"
1_2020_09_01_+18324+7957,1150.0,1,2020-03-01,8158.0,16.0,-1503.748,14664.0,"{""type"":""Point"",""coordinates"":[-118.03616848563355,34.2182819291538]}"
1_2020_09_01_+18324+7967,551.0,1,2020-03-01,7069.0,27.0,-1341.0200000000002,14855.0,"{""type"":""Point"",""coordinates"":[-117.97324023258524,34.17331589954081]}"
1_2020_09_01_+18324+7968,666.0,1,2020-03-01,6718.0,20.0,-1260.6200000000001,14955.0,"{""type"":""Point"",""coordinates"":[-117.96423773891397,34.1688192965795]}"
1_2020_09_01_+18325+7948,1436.0,1,2020-03-01,6042.0,25.0,-1049.3280000000002,14654.0,"{""type"":""Point"",""coordinates"":[-118.08791896300758,34.26099965728613]}"
1_2020_09_01_+18325+7952,1195.0,1,2020-03-01,7358.0,24.0,-1337.912,14531.0,"{""type"":""Point"",""coordinates"":[-118.05952605107925,34.240764943960286]}"
1_2020_09_01_+18326+7948,1269.0,1,2020-03-01,5531.0,18.0,-965.464,14712.0,"{""type"":""Point"",""coordinates"":[-118.07932228218364,34.25875135580549]}"
1_2020_09_01_+18326+7950,1040.0,1,2020-03-01,6413.0,5.0,-1169.056,14663.0,"{""type"":""Point"",""coordinates"":[-118.06670168959822,34.24975814988288]}"
1_2020_09_01_+18326+7951,1128.0,1,2020-03-01,6550.0,25.0,-1181.656,14663.0,"{""type"":""Point"",""coordinates"":[-118.06311331506916,34.24526154692159]}"
1_2020_09_01_+18326+7952,1152.0,1,2020-03-01,6955.0,24.0,-1261.3799999999999,14560.0,"{""type"":""Point"",""coordinates"":[-118.05408670272189,34.240764943960286]}"
1_2020_09_01_+18326+7955,1185.0,1,2020-03-01,7716.0,13.0,-1413.3,14595.0,"{""type"":""Point"",""coordinates"":[-118.03908829395849,34.228774002730155]}"
1_2020_09_01_+18326+7966,1005.0,1,2020-03-01,7043.0,39.0,-1287.5720000000001,14761.0,"{""type"":""Point"",""coordinates"":[-118.00850073399575,34.20650278443998]}"
1_2020_09_01_+18327+7947,1266.0,1,2020-03-01,6671.0,32.0,-1189.5720000000001,14711.0,"{""type"":""Point"",""coordinates"":[-118.08019387944121,34.26324795876678]}"
1_2020_09_01_+18327+7950,1011.0,1,2020-03-01,6660.0,3.0,-1221.9560000000001,14663.0,"{""type"":""Point"",""coordinates"":[-118.0612617600047,34.24975814988288]}"
1_2020_09_01_+18327+7952,1089.0,1,2020-03-01,7397.0,32.0,-1353.68,14560.0,"{""type"":""Point"",""coordinates"":[-118.04864735436453,34.240764943960286]}"
1_2020_09_01_+18327+7953,1149.0,1,2020-03-01,7747.0,29.0,-1418.58,14560.0,"{""type"":""Point"",""coordinates"":[-118.04234225283281,34.236268340999]}"
1_2020_09_01_+18327+7967,796.0,1,2020-03-01,7401.0,21.0,-1384.7440000000001,14852.0,"{""type"":""Point"",""coordinates"":[-117.95965273931664,34.1733158995408]}"
1_2020_09_01_+18328+7951,1303.0,1,2020-03-01,6728.0,30.0,-1197.296,14783.0,"{""type"":""Point"",""coordinates"":[-118.03822021779224,34.26017133568799]}"
1_2020_09_01_+18328+7953,1120.0,1,2020-03-01,7723.0,21.0,-1418.8960000000002,14583.0,"{""type"":""Point"",""coordinates"":[-118.03690319499674,34.236268340999]}"
1_2020_09_01_+18328+7955,1351.0,1,2020-03-01,7351.0,31.0,-1317.8360000000002,14653.0,"{""type"":""Point"",""coordinates"":[-118.03016791520838,34.229523436557045]}"
1_2020_09_01_+18328+7966,884.0,1,2020-03-01,7342.0,34.0,-1360.148,14864.0,"{""type"":""Point"",""coordinates"":[-117.95897516013669,34.17931137015587]}"
1_2020_09_01_+18329+7947,1245.0,1,2020-03-01,6257.0,20.0,-1111.944,14777.0,"{""type"":""Point"",""coordinates"":[-118.06931227557693,34.26324795876678]}"
1_2020_09_01_+18329+7953,1040.0,1,2020-03-01,7736.0,25.0,-1428.0320000000002,14616.0,"{""type"":""Point"",""coordinates"":[-118.03189662080118,34.23851664247964]}"
1_2020_09_01_+18329+7965,1226.0,1,2020-03-01,7376.0,21.0,-1338.44,14640.0,"{""type"":""Point"",""coordinates"":[-117.98102486672497,34.197249431431594]}"
1_2020_09_01_+18330+7946,1352.0,1,2020-03-01,5444.0,20.0,-938.78,14760.0,"{""type"":""Point"",""coordinates"":[-118.07290465795482,34.26774456172809]}"
1_2020_09_01_+18330+7948,1288.0,1,2020-03-01,5750.0,23.0,-1005.488,14759.0,"{""type"":""Point"",""coordinates"":[-118.06265376954622,34.268194222024206]}"
1_2020_09_01_+18330+7951,1038.0,1,2020-03-01,6379.0,32.0,-1153.2600000000002,14800.0,"{""type"":""Point"",""coordinates"":[-118.0445081725274,34.24750984840224]}"
1_2020_09_01_+18330+7965,1057.0,1,2020-03-01,6398.0,28.0,-1156.8880000000001,14734.0,"{""type"":""Point"",""coordinates"":[-117.95048345389863,34.182309105463396]}"
1_2020_09_01_+18331+7944,1660.0,1,2020-03-01,6588.0,14.0,-1139.2520000000002,14676.0,"{""type"":""Point"",""coordinates"":[-118.0773719199012,34.27673776765068]}"
1_2020_09_01_+18331+7945,1601.0,1,2020-03-01,6455.0,18.0,-1117.3519999999999,14676.0,"{""type"":""Point"",""coordinates"":[-118.07105676798874,34.27224116468938]}"
1_2020_09_01_+18331+7951,893.0,1,2020-03-01,6976.0,23.0,-1289.8600000000001,14800.0,"{""type"":""Point"",""coordinates"":[-118.03319530088177,34.24526154692159]}"
1_2020_09_01_+18331+7953,1029.0,1,2020-03-01,7474.0,22.0,-1376.1680000000001,14799.0,"{""type"":""Point"",""coordinates"":[-118.02614825008651,34.242563585144815]}"
1_2020_09_01_+18331+7962,1418.0,1,2020-03-01,7040.0,33.0,-1248.992,14571.0,"{""type"":""Point"",""coordinates"":[-117.96361069769634,34.21735159750664]}"
1_2020_09_01_+18331+7964,1015.0,1,2020-03-01,7294.0,22.0,-1341.7520000000002,14776.0,"{""type"":""Point"",""coordinates"":[-117.95371522842352,34.18980344373224]}"
1_2020_09_01_+18332+7954,955.0,1,2020-03-01,7808.0,17.0,-1452.8280000000002,14679.0,"{""type"":""Point"",""coordinates"":[-118.00695874308833,34.239381373818354]}"
1_2020_09_01_+18334+7944,1554.0,1,2020-03-01,6467.0,17.0,-1124.328,14729.0,"{""type"":""Point"",""coordinates"":[-118.0610468953444,34.27673776765069]}"
1_2020_09_01_+18334+7945,1395.0,1,2020-03-01,5945.0,35.0,-1030.4279999999999,14729.0,"{""type"":""Point"",""coordinates"":[-118.05473261654593,34.27224116468938]}"
1_2020_09_01_+18334+7949,1071.0,1,2020-03-01,6520.0,27.0,-1179.2920000000001,14846.0,"{""type"":""Point"",""coordinates"":[-118.0294895225582,34.25425475284419]}"
1_2020_09_01_+18334+7950,890.0,1,2020-03-01,6495.0,24.0,-1193.956,14763.0,"{""type"":""Point"",""coordinates"":[-118.02318225284988,34.24975814988288]}"
1_2020_09_01_+18334+7956,1198.0,1,2020-03-01,6905.0,17.0,-1248.272,14636.0,"{""type"":""Point"",""coordinates"":[-117.98746751060538,34.22427739976886]}"
1_2020_09_01_+18335+7950,875.0,1,2020-03-01,6751.0,16.0,-1249.056,14763.0,"{""type"":""Point"",""coordinates"":[-118.01774232325633,34.24975814988288]}"
1_2020_09_01_+18335+7960,1177.0,1,2020-03-01,7347.0,14.0,-1339.1680000000001,14699.0,"{""type"":""Point"",""coordinates"":[-117.95746804302736,34.2047921202699]}"
1_2020_09_01_+18335+7962,845.0,1,2020-03-01,7383.0,5.0,-1382.268,14699.0,"{""type"":""Point"",""coordinates"":[-117.95185325515513,34.19772602990214]}"
1_2020_09_01_+18336+7950,920.0,1,2020-03-01,6282.0,21.0,-1149.1680000000001,14774.0,"{""type"":""Point"",""coordinates"":[-118.01230239366278,34.24975814988288]}"
